name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Nikola Vlasic,MID,West Ham,0.0,0,0,0,0,0.0,582,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,12,0,0,0,0,13,0,3259,1,2,0.0,0,-91,57,148,57,False,0,13
Nohan Kenneh,MID,Leeds,0.0,0,0,0,0,0.0,600,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,4,0,0,0,0,13,0,1028,0,0,0.0,0,157,275,118,44,False,0,13
Nuno Varela Tavares,DEF,Arsenal,6.8,1,2,30,1,18.3,466,121,0,0,6.8,12.4,2021-11-27T12:30:00Z,90,14,0,0,0,0,13,0,32853,0,2,37.0,11,519,3823,3304,43,True,0,13
Nélson Cabral Semedo,DEF,Wolves,4.3,0,0,20,1,4.6,437,130,0,0,1.8,11.0,2021-11-27T15:00:00Z,75,15,0,0,0,0,13,0,211452,0,0,2.0,5,-541,10694,11235,49,False,1,13
Odsonne Edouard,FWD,Crystal Palace,1.5,0,0,2,0,0.3,586,126,1,0,2.1,3.4,2021-11-27T15:00:00Z,18,2,0,0,0,0,13,0,222225,2,1,17.0,1,-37301,4734,42035,65,True,0,13
Oghenekaro Peter Etebo,MID,Watford,0.0,0,0,0,0,0.0,467,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,12693,2,4,0.0,0,-445,241,686,44,False,0,13
Oleksandr Zinchenko,DEF,Man City,0.5,0,0,0,0,0.0,264,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,19,0,0,0,0,13,0,58728,1,2,0.0,0,-595,454,1049,53,True,0,13
Olivier Giroud,FWD,Chelsea,0.0,0,0,0,0,0.0,120,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,13,0,0,0,0,13,0,1284,1,1,0.0,0,-8,0,8,65,True,0,13
Ollie Watkins,FWD,Aston Villa,4.8,0,0,-2,0,13.5,40,126,1,0,2.7,5.8,2021-11-27T15:00:00Z,90,7,0,0,0,0,13,0,269004,2,1,8.0,2,56179,69398,13219,74,False,0,13
Onel Hernández,MID,Norwich,0.0,0,0,0,0,0.0,320,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,20,0,0,0,0,13,0,1581,0,0,0.0,0,-31,0,31,49,True,0,13
Oriol Romeu Vidal,MID,Southampton,1.2,0,0,12,0,2.3,335,128,4,0,1.7,12.6,2021-11-27T15:00:00Z,90,11,0,0,0,0,13,0,53233,0,4,2.0,2,-469,2376,2845,45,False,0,13
Owen Beck,DEF,Liverpool,1.0,0,0,0,0,0.0,627,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,16,0,0,0,0,13,0,154,0,4,0.0,0,41,48,7,40,True,0,13
Owen Otasowie,MID,Wolves,0.0,0,0,0,0,0.0,442,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,15,0,0,0,0,13,0,8295,0,0,0.0,0,-198,0,198,45,False,0,13
Ozan Kabak,DEF,Norwich,-0.3,0,0,0,0,0.0,580,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,20,0,0,0,0,13,0,4935,0,0,0.0,0,-102,266,368,45,True,0,13
Ozan Tufan,MID,Watford,0.3,0,0,-3,0,1.1,557,127,1,0,0.4,0.0,2021-11-28T14:00:00Z,45,9,0,0,0,0,13,0,1338,2,4,4.0,1,5,64,59,50,False,0,13
Pablo Fornals,MID,West Ham,4.7,0,0,16,0,13.4,423,129,2,0,2.6,13.0,2021-11-28T14:00:00Z,90,12,0,0,0,0,13,0,187089,1,2,0.0,2,-6171,11057,17228,60,False,0,13
Pablo Hernández Domínguez,MID,Leeds,0.0,0,0,0,0,0.0,182,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,4,0,0,0,0,13,0,172,0,0,0.0,0,-2,0,2,55,False,0,13
Pablo Marí,DEF,Arsenal,1.0,0,0,0,0,0.0,8,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,14,0,0,0,0,13,0,8904,0,2,0.0,0,-116,68,184,42,True,0,13
Paris Maghoma,MID,Brentford,0.0,0,0,0,0,0.0,614,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,499,0,1,0.0,0,-50,71,121,45,True,0,13
Pascal Groß,MID,Brighton,1.5,0,0,16,1,47.5,55,123,0,0,7.3,17.4,2021-11-27T17:30:00Z,90,10,0,0,0,0,13,0,26361,0,0,8.0,3,-966,496,1462,59,True,0,13
Pascal Struijk,DEF,Leeds,1.5,0,0,8,0,30.5,198,123,0,0,4.1,8.6,2021-11-27T17:30:00Z,45,4,0,0,0,0,13,0,15600,0,0,2.0,1,-440,288,728,44,False,0,13
Patrick Bamford,FWD,Leeds,0.0,0,0,0,0,0.0,189,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,4,0,0,0,0,13,0,291156,0,0,0.0,0,-8131,259,8390,77,False,0,13
Patrick Cutrone,FWD,Wolves,0.0,0,0,0,0,0.0,523,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,15,0,0,0,0,13,0,4575,0,0,0.0,0,-75,0,75,50,False,0,13
Patrik Gunnarsson,GK,Brentford,0.0,0,0,0,0,0.0,94,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,72952,0,1,0.0,0,3783,6745,2962,39,True,0,13
Patson Daka,FWD,Leicester,0.7,0,0,0,0,0.0,455,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,18,0,0,0,0,13,0,80161,2,4,0.0,0,-14277,3130,17407,71,True,0,13
Paul Dummett,DEF,Newcastle,0.0,0,0,0,0,0.0,301,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,1,0,0,0,0,13,0,1058,0,2,0.0,0,196,252,56,45,False,0,13
Paul Pogba,MID,Man Utd,0.0,0,0,0,0,0.0,272,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,6,0,0,0,0,13,0,663202,1,1,0.0,0,-34097,356,34453,74,False,0,13
